epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.0735,1.05251,4.52959,1.08539,0.01226,0.02108,0.00344,0.00279,0.73901,4.05107,0.84513,8.15217e-05,8.15217e-05,8.15217e-05
2,35.3051,0.76919,3.6203,0.92422,0.03348,0.56582,0.07037,0.06043,0.65979,3.72084,0.86419,0.000161591,0.000161591,0.000161591
3,42.7439,0.72491,2.93479,0.9313,0.4631,0.31418,0.28449,0.23974,0.63614,2.43756,0.90006,0.00023836,0.00023836,0.00023836
4,49.8897,0.71114,2.28987,0.94537,0.61555,0.47085,0.49244,0.41684,0.61945,1.68343,0.91156,0.00023515,0.00023515,0.00023515
5,57.1163,0.66996,1.90115,0.93093,0.56831,0.62286,0.64879,0.55634,0.59478,1.29245,0.91987,0.0002302,0.0002302,0.0002302
6,64.1326,0.65488,1.59978,0.93888,0.66556,0.72469,0.7633,0.66365,0.57056,1.05046,0.90598,0.00022525,0.00022525,0.00022525
7,71.0372,0.63518,1.37546,0.92716,0.68528,0.82321,0.82223,0.72122,0.55321,0.87182,0.90054,0.0002203,0.0002203,0.0002203
8,77.9869,0.62301,1.21767,0.92103,0.81677,0.89031,0.91329,0.80947,0.53278,0.70225,0.89467,0.00021535,0.00021535,0.00021535
9,84.9365,0.60786,1.12288,0.91767,0.85952,0.90162,0.94409,0.83267,0.53124,0.68095,0.90446,0.0002104,0.0002104,0.0002104
10,91.8193,0.59643,1.05787,0.91182,0.89357,0.93558,0.96418,0.85454,0.51732,0.60933,0.88176,0.00020545,0.00020545,0.00020545
11,98.6712,0.58604,1.00474,0.90511,0.93577,0.93447,0.97674,0.87121,0.50794,0.56355,0.87819,0.0002005,0.0002005,0.0002005
12,105.529,0.57408,0.95454,0.90039,0.92206,0.93877,0.98027,0.86601,0.51628,0.55713,0.87705,0.00019555,0.00019555,0.00019555
13,112.375,0.57113,0.93208,0.90115,0.93772,0.96402,0.9839,0.87079,0.49797,0.52862,0.87398,0.0001906,0.0001906,0.0001906
14,119.158,0.56813,0.89243,0.89764,0.9584,0.9528,0.98237,0.87611,0.50119,0.48905,0.87559,0.00018565,0.00018565,0.00018565
15,126.044,0.56374,0.86593,0.89507,0.95516,0.96328,0.98418,0.87504,0.50076,0.47843,0.87373,0.0001807,0.0001807,0.0001807
16,132.863,0.5525,0.80628,0.89263,0.95916,0.96533,0.9887,0.88224,0.49322,0.454,0.86964,0.00017575,0.00017575,0.00017575
17,139.756,0.55859,0.81119,0.89207,0.96527,0.96529,0.98773,0.88184,0.49837,0.45319,0.87072,0.0001708,0.0001708,0.0001708
18,146.604,0.55914,0.78565,0.89042,0.96827,0.97445,0.99159,0.88583,0.49542,0.43598,0.8771,0.00016585,0.00016585,0.00016585
19,153.514,0.5496,0.77819,0.88803,0.96341,0.97125,0.98966,0.88656,0.49186,0.43554,0.87104,0.0001609,0.0001609,0.0001609
20,160.405,0.5485,0.76442,0.88558,0.97135,0.96427,0.9909,0.88902,0.48621,0.43028,0.8659,0.00015595,0.00015595,0.00015595
21,167.305,0.54042,0.73492,0.88226,0.97504,0.97037,0.98847,0.88501,0.48472,0.42153,0.86418,0.000151,0.000151,0.000151
22,174.199,0.54098,0.73662,0.8828,0.9799,0.97187,0.99184,0.89241,0.4881,0.40102,0.86527,0.00014605,0.00014605,0.00014605
23,181.124,0.54121,0.72961,0.88281,0.98394,0.98084,0.99195,0.89012,0.47974,0.39194,0.86518,0.0001411,0.0001411,0.0001411
24,188.005,0.53608,0.71502,0.88174,0.98612,0.98132,0.99268,0.88752,0.4843,0.38372,0.86474,0.00013615,0.00013615,0.00013615
25,194.881,0.52424,0.68589,0.87757,0.98254,0.98096,0.99207,0.88599,0.48017,0.39167,0.86052,0.0001312,0.0001312,0.0001312
26,201.807,0.52768,0.68821,0.87856,0.98379,0.97734,0.99213,0.88715,0.48751,0.38463,0.86506,0.00012625,0.00012625,0.00012625
27,208.699,0.53255,0.6962,0.88223,0.98596,0.98065,0.99268,0.88892,0.48537,0.37227,0.86108,0.0001213,0.0001213,0.0001213
28,215.565,0.5253,0.68908,0.88302,0.98304,0.97705,0.99206,0.89163,0.48233,0.3776,0.86455,0.00011635,0.00011635,0.00011635
29,222.455,0.52568,0.67221,0.88087,0.98301,0.98754,0.99273,0.89554,0.47774,0.36945,0.8648,0.0001114,0.0001114,0.0001114
30,229.392,0.52198,0.66865,0.8798,0.98334,0.98355,0.99277,0.89329,0.48659,0.36668,0.86657,0.00010645,0.00010645,0.00010645
31,236.331,0.52288,0.6603,0.87832,0.9824,0.98355,0.99255,0.89089,0.47706,0.36154,0.86149,0.0001015,0.0001015,0.0001015
32,243.282,0.51552,0.66241,0.8838,0.98359,0.9846,0.99317,0.8915,0.48007,0.35356,0.86521,9.655e-05,9.655e-05,9.655e-05
33,250.174,0.52094,0.65804,0.87637,0.98368,0.98488,0.99302,0.889,0.48622,0.36196,0.86359,9.16e-05,9.16e-05,9.16e-05
34,257.048,0.51217,0.62804,0.86995,0.98829,0.98167,0.99272,0.8935,0.47402,0.35235,0.86179,8.665e-05,8.665e-05,8.665e-05
35,263.974,0.51088,0.62676,0.87457,0.98517,0.98801,0.99269,0.89234,0.47718,0.35338,0.86303,8.17e-05,8.17e-05,8.17e-05
36,270.887,0.51113,0.63177,0.86877,0.9863,0.98533,0.99275,0.89069,0.47399,0.3491,0.86161,7.675e-05,7.675e-05,7.675e-05
37,277.862,0.51043,0.64154,0.87839,0.98706,0.98351,0.9925,0.89239,0.47178,0.35283,0.85963,7.18e-05,7.18e-05,7.18e-05
38,284.792,0.51065,0.64086,0.8726,0.98748,0.98913,0.9927,0.89295,0.4757,0.34363,0.86227,6.685e-05,6.685e-05,6.685e-05
39,291.731,0.51344,0.63088,0.87068,0.99028,0.98997,0.99274,0.89714,0.47362,0.34596,0.85865,6.19e-05,6.19e-05,6.19e-05
40,299.007,0.50687,0.63939,0.87315,0.99183,0.98859,0.99272,0.89485,0.47077,0.33786,0.85923,5.695e-05,5.695e-05,5.695e-05
41,13.6862,0.47104,0.50595,0.86005,0.99061,0.99085,0.99271,0.89599,0.4741,0.33712,0.86216,5.2e-05,5.2e-05,5.2e-05
42,26.4112,0.46416,0.4837,0.85388,0.98667,0.98834,0.99268,0.89628,0.47643,0.3354,0.85994,4.705e-05,4.705e-05,4.705e-05
43,38.7966,0.46381,0.48458,0.85249,0.98615,0.988,0.99261,0.89396,0.47703,0.33924,0.85854,4.21e-05,4.21e-05,4.21e-05
44,51.0795,0.46223,0.47759,0.85517,0.98741,0.98851,0.9925,0.88997,0.48053,0.33509,0.85871,3.715e-05,3.715e-05,3.715e-05
45,63.4061,0.4611,0.4723,0.85283,0.98851,0.98693,0.9925,0.89316,0.47664,0.32648,0.85893,3.22e-05,3.22e-05,3.22e-05
46,75.7404,0.45587,0.46748,0.84981,0.98522,0.99016,0.99261,0.89327,0.47116,0.32483,0.85824,2.725e-05,2.725e-05,2.725e-05
47,88.1185,0.45582,0.4687,0.85223,0.99023,0.98945,0.99261,0.89558,0.46977,0.32432,0.85806,2.23e-05,2.23e-05,2.23e-05
